issue,draw_date,week,numbers,numbers_sorted,numbers_sequence,sale_money,prize_pool_money,fix_pool_money,source
2020047,2020-12-13,星期日,04 05 10 17 18 22 27 28 37 42 43 45 46 48 49 51 54 55 66 78,04 05 10 17 18 22 27 28 37 42 43 45 46 48 49 51 54 55 66 78,27 49 55 28 18 05 46 42 10 17 78 04 48 22 54 37 66 43 51 45,11921938,14858486.85,,zhcw_jsonp
2020048,2020-12-14,星期一,02 10 11 12 15 19 20 27 32 36 45 47 53 62 66 67 69 73 78 79,02 10 11 12 15 19 20 27 32 36 45 47 53 62 66 67 69 73 78 79,36 32 62 12 15 19 67 78 73 66 11 53 20 69 10 47 27 45 02 79,11786010,10500417.3,,zhcw_jsonp
2020049,2020-12-15,星期二,07 12 15 18 19 20 29 31 42 46 52 54 59 63 65 67 70 71 77 80,07 12 15 18 19 20 29 31 42 46 52 54 59 63 65 67 70 71 77 80,77 67 46 52 70 12 19 20 15 29 63 80 71 18 42 07 31 54 59 65,13176008,11394754.5,,zhcw_jsonp
2020050,2020-12-16,星期三,04 05 08 14 15 20 23 29 41 42 50 51 53 60 67 68 70 71 76 79,04 05 08 14 15 20 23 29 41 42 50 51 53 60 67 68 70 71 76 79,08 14 71 29 68 60 51 67 23 42 05 41 50 15 04 79 20 53 76 70,13882504,12312926.4,,zhcw_jsonp
2020051,2020-12-17,星期四,01 04 08 11 15 21 23 34 38 39 41 47 51 60 68 71 73 76 77 79,01 04 08 11 15 21 23 34 38 39 41 47 51 60 68 71 73 76 77 79,79 68 21 41 04 77 38 34 08 23 11 39 71 51 47 15 73 01 60 76,14125942,13279805.7,,zhcw_jsonp
2020052,2020-12-18,星期五,01 02 05 06 07 09 18 19 24 26 27 34 40 41 53 54 56 63 65 74,01 02 05 06 07 09 18 19 24 26 27 34 40 41 53 54 56 63 65 74,09 05 54 18 02 19 07 56 65 41 06 40 26 53 24 01 34 27 74 63,16130748,8979961.9,,zhcw_jsonp
2020053,2020-12-19,星期六,02 06 11 15 17 24 25 28 29 30 34 42 43 48 50 53 62 64 70 72,02 06 11 15 17 24 25 28 29 30 34 42 43 48 50 53 62 64 70 72,43 24 15 53 48 29 50 34 02 06 17 70 25 28 11 72 62 42 30 64,14805592,4852657.35,,zhcw_jsonp
2020054,2020-12-20,星期日,04 07 11 14 15 19 24 25 33 34 39 41 47 52 61 64 68 72 73 78,04 07 11 14 15 19 24 25 33 34 39 41 47 52 61 64 68 72 73 78,61 78 68 34 11 33 39 41 73 14 24 07 64 15 04 25 52 47 19 72,14713890,5721254.45,,zhcw_jsonp
2020055,2020-12-21,星期一,02 10 13 15 16 24 28 29 32 34 35 39 46 49 54 57 65 70 74 77,02 10 13 15 16 24 28 29 32 34 35 39 46 49 54 57 65 70 74 77,74 02 39 46 77 16 34 32 13 70 28 35 54 15 49 10 65 57 24 29,15371594,6826551.55,,zhcw_jsonp
2020056,2020-12-22,星期二,02 04 08 12 14 16 23 28 36 37 38 41 43 46 49 51 55 56 57 70,02 04 08 12 14 16 23 28 36 37 38 41 43 46 49 51 55 56 57 70,04 46 51 36 55 23 14 49 56 37 70 41 57 38 02 08 28 12 16 43,15405986,7883422.45,,zhcw_jsonp
